,type,acc,noise,opt
0,gc,0.8961797940184549,0.0,mean
1,gc,0.8786690837811524,0.0,mean
2,gc,0.8539087941652047,0.0,mean
3,gc,0.8549302516944944,0.0,mean
4,gc,0.8938436230601617,0.0,mean
5,gc,0.8253764852540527,0.0,mean
6,gc,0.9027935844283259,0.0,mean
7,gc,0.8794254527545743,0.0,mean
8,gc,0.8913825211198819,0.0,mean
9,gc,0.9056760700075351,0.0,mean
10,gc,0.8996272936843319,0.0,mean
11,gc,0.8847907860089219,0.0,mean
12,gc,0.8564330043298248,0.0,mean
13,gc,0.8998828482201716,0.0,mean
14,gc,0.8567731231399918,0.0,mean
15,gc,0.8604905772936255,0.0,mean
16,gc,0.9012410210569411,0.0,mean
17,gc,0.8964107909010928,0.0,mean
18,gc,0.9059959324413207,0.0,mean
19,gc,0.8983449340538368,0.0,mean
20,gc,0.8249671399697898,0.1,mean
21,gc,0.7964843999016105,0.1,mean
22,gc,0.7764683144730229,0.1,mean
23,gc,0.8583205489414312,0.1,mean
24,gc,0.8288067575523893,0.1,mean
25,gc,0.8304309562883996,0.1,mean
26,gc,0.8087558543529683,0.1,mean
27,gc,0.8142472265777909,0.1,mean
28,gc,0.858490305930804,0.1,mean
29,gc,0.8177346908820706,0.1,mean
30,gc,0.8215648959767201,0.1,mean
31,gc,0.8539541001871133,0.1,mean
32,gc,0.8018468933626188,0.1,mean
33,gc,0.8173792822451755,0.1,mean
34,gc,0.8587407168666701,0.1,mean
35,gc,0.7623691087771849,0.1,mean
36,gc,0.8244148208521626,0.1,mean
37,gc,0.8456519133433875,0.1,mean
38,gc,0.8151176192297378,0.1,mean
39,gc,0.8324374993369978,0.1,mean
40,gc,0.8101124545812249,0.2,mean
41,gc,0.7832016906992167,0.2,mean
42,gc,0.7643021880503944,0.2,mean
43,gc,0.8270315352967099,0.2,mean
44,gc,0.8040450599272052,0.2,mean
45,gc,0.8275472106206163,0.2,mean
46,gc,0.791252423589206,0.2,mean
47,gc,0.7973656720780775,0.2,mean
48,gc,0.8256730590041375,0.2,mean
49,gc,0.7969950375332944,0.2,mean
50,gc,0.7951362879327137,0.2,mean
51,gc,0.8209569603456087,0.2,mean
52,gc,0.7866128595732416,0.2,mean
53,gc,0.8032070620739475,0.2,mean
54,gc,0.8206320153838362,0.2,mean
55,gc,0.7335060397615651,0.2,mean
56,gc,0.8068868428860112,0.2,mean
57,gc,0.811572303448953,0.2,mean
58,gc,0.8029068748983409,0.2,mean
59,gc,0.8033760196329712,0.2,mean
60,gc,0.8065307879655442,0.3,mean
61,gc,0.7795627886054951,0.3,mean
62,gc,0.7752650028660648,0.3,mean
63,gc,0.7983206725210937,0.3,mean
64,gc,0.7979324261248786,0.3,mean
65,gc,0.8154915852289708,0.3,mean
66,gc,0.7746137695195203,0.3,mean
67,gc,0.7995862507798075,0.3,mean
68,gc,0.8090817385874427,0.3,mean
69,gc,0.7880438644710102,0.3,mean
70,gc,0.7770850486005989,0.3,mean
71,gc,0.8022002759229011,0.3,mean
72,gc,0.7913367558796385,0.3,mean
73,gc,0.797073613866554,0.3,mean
74,gc,0.7985286229194547,0.3,mean
75,gc,0.6989164733768877,0.3,mean
76,gc,0.8052700684398154,0.3,mean
77,gc,0.7979285189171131,0.3,mean
78,gc,0.795475282353179,0.3,mean
