,Exponent,Truth Label,Predicted Label,Confidence
129,0.225,0,1,0.037037037037037035
130,0.225,0,2,0.013468013468013467
131,0.225,0,3,0.013468013468013467
132,0.225,0,4,0.011784511784511785
133,0.225,0,5,0.003367003367003367
134,0.225,0,6,0.03198653198653199
135,0.225,0,7,0.2474747474747475
136,0.225,1,0,0.030303030303030304
137,0.225,1,1,0.968013468013468
138,0.225,1,2,0.0016835016835016834
139,0.225,1,3,0.0
140,0.225,1,4,0.0
141,0.225,1,5,0.0
142,0.225,1,6,0.0
143,0.225,1,7,0.0
144,0.225,2,0,0.0
145,0.225,2,1,0.005050505050505051
146,0.225,2,2,0.9932659932659933
147,0.225,2,3,0.0016835016835016834
148,0.225,2,4,0.0
149,0.225,2,5,0.0
150,0.225,2,6,0.0
151,0.225,2,7,0.0
152,0.225,3,0,0.005050505050505051
153,0.225,3,1,0.0
154,0.225,3,2,0.0016835016835016834
155,0.225,3,3,0.9865319865319865
156,0.225,3,4,0.0
157,0.225,3,5,0.0016835016835016834
158,0.225,3,6,0.0
159,0.225,3,7,0.005050505050505051
160,0.225,4,0,
161,0.225,4,1,
162,0.225,4,2,
163,0.225,4,3,
164,0.225,4,4,
165,0.225,4,5,
166,0.225,4,6,
167,0.225,4,7,
168,0.225,5,0,
169,0.225,5,1,
170,0.225,5,2,
171,0.225,5,3,
172,0.225,5,4,
173,0.225,5,5,
174,0.225,5,6,
175,0.225,5,7,
176,0.225,6,0,
177,0.225,6,1,
178,0.225,6,2,
179,0.225,6,3,
180,0.225,6,4,
181,0.225,6,5,
182,0.225,6,6,
183,0.225,6,7,
184,0.225,7,0,
185,0.225,7,1,
186,0.225,7,2,
187,0.225,7,3,
188,0.225,7,4,
189,0.225,7,5,
190,0.225,7,6,
191,0.225,7,7,
192,0.275,0,0,0.687170474516696
193,0.275,0,1,0.050966608084358524
194,0.275,0,2,0.01054481546572935
195,0.275,0,3,0.0210896309314587
196,0.275,0,4,0.012302284710017574
197,0.275,0,5,0.0
198,0.275,0,6,0.02460456942003515
199,0.275,0,7,0.19332161687170474
200,0.275,1,0,0.029876977152899824
201,0.275,1,1,0.9666080843585237
202,0.275,1,2,0.0017574692442882249
203,0.275,1,3,0.0017574692442882249
204,0.275,1,4,0.0
205,0.275,1,5,0.0
206,0.275,1,6,0.0
207,0.275,1,7,0.0
208,0.275,2,0,0.0
209,0.275,2,1,0.0017574692442882249
210,0.275,2,2,0.9894551845342706
211,0.275,2,3,0.0035149384885764497
212,0.275,2,4,0.0
